model,MAE,MSE,RMSE,R2,train_seconds
Linear Regression,130153.12774728553,31591626320.34628,177740.33397162918,0.6323565305727967,0.04
Decision Tree,147122.61066955686,51012447971.434135,225859.3544032085,0.40634922792454786,0.05
Random Forest,118655.07133830625,30146106889.922085,173626.34273036476,0.6491785761723713,0.72
Gradient Boosting,112469.89609826567,25364810623.25858,159263.33734811217,0.7048202936962141,0.22
Gradient Boosting (tuned),109460.54189967296,24923334747.42312,157871.26004255214,0.7099579121592443,
